species,dom_fr,max_fr,min_fr,min_fr_TM
BTF,3562.5,3937.5,2795.538,2812.5
BTF,3750,3937.5,3163.892,3375
BTF,3750,3937.5,1848.344,3187.5
BTF,3562.5,6937.5,1499.724,1500
BTF,3562.5,6562.5,2249.586,1125
BTF,3562.5,6187.5,2848.16,1125
BTF,4125,6937.5,2979.715,1687.5
BTF,3562.5,6750,2881.049,1687.5
BTF,4312.5,5062.5,1828.611,1312.5
BTF,3562.5,6750,2815.272,1312.5
BTF,3562.5,6375,3038.915,1125
BTF,3562.5,6750,2058.832,2250
BTF,3375,5625,1348.436,1687.5
BTF,4125,5250,2723.183,1312.5
BTF,3000,4875,2453.496,1125
BTF,3000,6000,2492.963,1125
BTF,4125,5437.5,3242.825,1125
BTF,3562.5,5437.5,1545.768,1312.5
BTF,2250,6937.5,1506.302,1500
BTF,2062.5,6750,1499.724,1312.5
BTF,3937.5,6187.5,1493.146,1687.5
BTF,3375,5812.5,2427.185,1687.5
BTF,3562.5,6187.5,1499.724,1875
BTF,3000,6187.5,2394.296,2437.5
BTF,5812.5,6562.5,2453.496,1687.5
BTF,3750,6562.5,1499.724,1687.5
BTF,3750,5062.5,2262.742,2062.5
BTF,3187.5,6000,1350,2250
BTF,3750,6562.5,1440.525,1687.5
BTF,3187.5,6000,2315.364,1687.5
BTF,3000,6562.5,2486.385,1687.5
BTF,3375,6937.5,1506.302,1687.5
BTF,3562.5,5437.5,2650.828,1687.5
BTF,3562.5,5812.5,2591.629,1687.5
BTF,1687.5,5437.5,2624.517,1500
BTF,1500,5625,2433.763,1312.5
BTF,3187.5,5437.5,2262.742,1500
BTF,3187.5,5437.5,2565.318,3000
BTF,4125,5437.5,2243.008,2625
BTF,3000,5250,2269.319,2625
BTF,3000,5625,2499.54,1875
BTF,3000,5062.5,2519.273,2812.5
BTF,2812.5,6562.5,2433.763,2062.5
BTF,2812.5,6562.5,2065.41,2437.5
BTF,3000,5437.5,2460.074,2625
BTF,3750,7312.5,2808.694,2062.5
BTF,3375,5437.5,2223.275,2625
BTF,2062.5,4875,2269.319,2062.5
BTF,3000,6937.5,2473.229,2812.5
BTF,3000,5625,2394.296,2625
BTF,3000,5062.5,2552.162,2812.5
BTF,3937.5,5437.5,2144.342,2437.5
BTF,3000,4875,2473.229,2625
BTF,3187.5,3750,2446.918,2625
BTF,3750,5062.5,1651.012,2812.5
BTF,3750,4687.5,2940.249,3000
BTF,3375,4687.5,1624.701,2250
BTF,3562.5,4500,2696.872,2812.5
BTF,3562.5,3750,2769.227,3000
BTF,3562.5,3750,2762.65,3000
BTF,3375,3750,2769.227,3000
BTF,3375,3750,2788.961,3000
BTF,3375,4500,2091.721,1125
BTF,3562.5,4125,2742.917,2812.5
BTF,3562.5,3937.5,2756.072,3000
BTF,3562.5,3750,2723.183,2812.5
BTF,3375,6562.5,2756.072,3000
BTF,3187.5,5250,1131.371,1312.5
BTF,2625,5625,2052.254,1500
BTF,3750,4500,1328.703,1687.5
